ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0368,0.1106,9.7682,0.152,0.0602,9.8052,-0.1152,0.0504,-0.037,2.0E-4,2.0E-4,0.0073,25.0,-54.71,-123.48,-26.3,156.04,-0.35,-0.91,4.0,74.153,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,12,2015-08-10 08:27:09:213
0.0512,0.0723,9.8568,0.1498,0.0617,9.8053,-0.0986,0.0106,0.0515,2.0E-4,2.0E-4,0.0073,25.0,-54.47,-123.14,-25.63,156.43,-0.35,-0.89,4.0,74.153,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,111,2015-08-10 08:27:09:312
0.1015,0.0316,9.7802,0.1466,0.0634,9.8053,-0.0452,-0.0319,-0.0251,2.0E-4,-8.0E-4,0.0094,25.0,-54.28,-123.28,-25.67,156.43,-0.36,-0.88,4.0,71.689,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,212,2015-08-10 08:27:09:413
0.1015,0.0316,9.7802,0.1466,0.0634,9.8053,-0.0452,-0.0319,-0.0251,2.0E-4,-8.0E-4,0.0073,25.0,-54.28,-123.28,-25.67,156.43,-0.36,-0.88,4.0,71.689,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,312,2015-08-10 08:27:09:513
0.1326,0.0412,9.761,0.1447,0.064,9.8053,-0.0121,-0.0229,-0.0443,0.0012,-8.0E-4,0.0073,25.0,-54.23,-123.66,-26.09,156.59,-0.37,-0.86,4.0,71.689,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,411,2015-08-10 08:27:09:612
0.0727,0.0603,9.8137,0.1435,0.0637,9.8053,-0.0708,-0.0034,0.0084,0.0012,-8.0E-4,0.0073,25.0,-53.75,-123.75,-26.36,156.59,-0.37,-0.85,4.0,55.417,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,511,2015-08-10 08:27:09:712
0.0727,0.0603,9.8137,0.1435,0.0637,9.8053,-0.0708,-0.0034,0.0084,-9.0E-4,-0.0019,0.0073,25.0,-53.75,-123.75,-26.36,156.59,-0.37,-0.85,4.0,55.417,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,612,2015-08-10 08:27:09:813
0.0536,0.0747,9.8017,0.1408,0.0651,9.8053,-0.0872,0.0096,-0.0036,2.0E-4,2.0E-4,0.0062,25.0,-53.43,-123.55,-26.75,156.98,-0.37,-0.84,4.0,55.417,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,712,2015-08-10 08:27:09:913
0.0631,0.0268,9.773,0.1389,0.0666,9.8053,-0.0757,-0.0398,-0.0323,2.0E-4,2.0E-4,0.0062,25.0,-53.75,-123.52,-26.52,156.59,-0.38,-0.82,4.0,69.842,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,812,2015-08-10 08:27:10:013
0.0679,0.0627,9.8185,0.1375,0.0672,9.8055,-0.0696,-0.0045,0.013,0.0012,-0.0019,0.0084,25.0,-54.3,-123.51,-26.32,156.58,-0.39,-0.81,4.0,69.842,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,912,2015-08-10 08:27:10:113
0.0679,0.0627,9.8185,0.1375,0.0672,9.8055,-0.0696,-0.0045,0.013,0.0023,-8.0E-4,0.0073,25.0,-54.3,-123.51,-26.32,156.58,-0.39,-0.81,4.0,69.842,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1012,2015-08-10 08:27:10:213
0.0248,0.0603,9.8089,0.1354,0.0667,9.8055,-0.1106,-0.0064,0.0034,0.0013,-8.0E-4,0.0083,25.0,-54.52,-123.73,-26.1,156.19,-0.39,-0.8,4.0,74.012,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1111,2015-08-10 08:27:10:312
0.0464,0.1082,9.8041,0.1323,0.0691,9.8055,-0.0859,0.0391,-0.0013,0.0013,-8.0E-4,0.0083,25.0,-54.19,-124.01,-26.16,156.58,-0.39,-0.79,4.0,74.012,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1211,2015-08-10 08:27:10:412
0.0464,0.1082,9.8041,0.1323,0.0691,9.8055,-0.0859,0.0391,-0.0013,0.0023,-0.0019,0.0073,25.0,-54.19,-124.01,-26.16,156.58,-0.39,-0.79,4.0,74.012,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1312,2015-08-10 08:27:10:513
0.0919,0.0723,9.8688,0.1309,0.0721,9.8055,-0.0391,1.0E-4,0.0633,-9.0E-4,-8.0E-4,0.0062,25.0,-54.03,-123.74,-26.32,156.57,-0.4,-0.77,4.0,68.626,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1412,2015-08-10 08:27:10:613
